&*******************;*********;*******;*******;******;***;***********
&                   ;CodPEE   ;PerIni ;PerFin ;Pat   ;Cen;GerEolica
&-                  ;         ;       ;       ;      ;   ;MW
PEE-GER-PER-PAT-CEN;1;6;6;3;44;6.1113
PEE-GER-PER-PAT-CEN;1;6;6;1;45;10.15
PEE-GER-PER-PAT-CEN;1;6;6;2;45;8.6473
PEE-GER-PER-PAT-CEN;1;6;6;3;45;6.1113
PEE-GER-PER-PAT-CEN;1;6;6;1;46;10.15
PEE-GER-PER-PAT-CEN;1;6;6;2;46;8.6473
PEE-GER-PER-PAT-CEN;1;6;6;3;46;6.1113
PEE-GER-PER-PAT-CEN;1;6;6;1;47;10.15
PEE-GER-PER-PAT-CEN;1;6;6;2;47;8.6473
PEE-GER-PER-PAT-CEN;1;6;6;3;47;6.1113
PEE-GER-PER-PAT-CEN;1;6;6;1;48;10.15
PEE-GER-PER-PAT-CEN;1;6;6;2;48;8.6473
PEE-GER-PER-PAT-CEN;1;6;6;3;48;6.1113
PEE-GER-PER-PAT-CEN;1;6;6;1;49;10.15
PEE-GER-PER-PAT-CEN;1;6;6;2;49;8.6473
PEE-GER-PER-PAT-CEN;1;6;6;3;49;6.1113
PEE-GER-PER-PAT-CEN;1;6;6;1;50;10.15
PEE-GER-PER-PAT-CEN;1;6;6;2;50;8.6473
PEE-GER-PER-PAT-CEN;1;6;6;3;50;6.1113
PEE-GER-PER-PAT-CEN;1;6;6;1;51;10.15
PEE-GER-PER-PAT-CEN;1;6;6;2;51;8.6473
PEE-GER-PER-PAT-CEN;1;6;6;3;51;6.1113
PEE-GER-PER-PAT-CEN;1;6;6;1;52;10.15
PEE-GER-PER-PAT-CEN;1;6;6;2;52;8.6473
PEE-GER-PER-PAT-CEN;1;6;6;3;52;6.1113
PEE-GER-PER-PAT-CEN;1;6;6;1;53;10.15
PEE-GER-PER-PAT-CEN;1;6;6;2;53;8.6473
PEE-GER-PER-PAT-CEN;1;6;6;3;53;6.1113
PEE-GER-PER-PAT-CEN;1;6;6;1;54;10.15
PEE-GER-PER-PAT-CEN;1;6;6;2;54;8.6473
PEE-GER-PER-PAT-CEN;1;6;6;3;54;6.1113
PEE-GER-PER-PAT-CEN;1;6;6;1;55;10.15
PEE-GER-PER-PAT-CEN;1;6;6;2;55;8.6473
PEE-GER-PER-PAT-CEN;1;6;6;3;55;6.1113
PEE-GER-PER-PAT-CEN;1;6;6;1;56;10.15
PEE-GER-PER-PAT-CEN;1;6;6;2;56;8.6473
PEE-GER-PER-PAT-CEN;1;6;6;3;56;6.1113
PEE-GER-PER-PAT-CEN;1;6;6;1;57;10.15
PEE-GER-PER-PAT-CEN;1;6;6;2;57;8.6473
PEE-GER-PER-PAT-CEN;1;6;6;3;57;6.1113
PEE-GER-PER-PAT-CEN;1;6;6;1;58;10.15
PEE-GER-PER-PAT-CEN;1;6;6;2;58;8.6473
PEE-GER-PER-PAT-CEN;1;6;6;3;58;6.1113
PEE-GER-PER-PAT-CEN;1;6;6;1;59;10.15
PEE-GER-PER-PAT-CEN;1;6;6;2;59;8.6473
PEE-GER-PER-PAT-CEN;1;6;6;3;59;6.1113
PEE-GER-PER-PAT-CEN;1;6;6;1;60;10.15
PEE-GER-PER-PAT-CEN;1;6;6;2;60;8.6473
PEE-GER-PER-PAT-CEN;1;6;6;3;60;6.1113
PEE-GER-PER-PAT-CEN;1;6;6;1;61;10.15
PEE-GER-PER-PAT-CEN;1;6;6;2;61;8.6473
PEE-GER-PER-PAT-CEN;1;6;6;3;61;6.1113
PEE-GER-PER-PAT-CEN;1;6;6;1;62;10.15
PEE-GER-PER-PAT-CEN;1;6;6;2;62;8.6473
PEE-GER-PER-PAT-CEN;1;6;6;3;62;6.1113
PEE-GER-PER-PAT-CEN;1;6;6;1;63;10.15
PEE-GER-PER-PAT-CEN;1;6;6;2;63;8.6473
PEE-GER-PER-PAT-CEN;1;6;6;3;63;6.1113
PEE-GER-PER-PAT-CEN;1;6;6;1;64;10.15
PEE-GER-PER-PAT-CEN;1;6;6;2;64;8.6473
PEE-GER-PER-PAT-CEN;1;6;6;3;64;6.1113
