 PATAMAR DE DEFICIT
 NUMERO DE PATAMARES DE DEFICIT
 XXX
   1
 CUSTO DO DEFICIT
 NUM|NOME SSIS.|    CUSTO DE DEFICIT POR PATAMAR  | P.U. CORTE POR PATAMAR|
 XXX|XXXXXXXXXX| F|XXXX.XX XXXX.XX XXXX.XX XXXX.XX|X.XXX X.XXX X.XXX X.XXX|
 1   SUDESTE     0 8327.76 0000.00 0000.00 0000.00 1.000 0.000 0.000 0.000
 2   SUL         0 8327.76 0000.00 0000.00 0000.00 1.000 0.000 0.000 0.000
 3   NORDESTE    0 8327.76 0000.00 0000.00 0000.00 1.000 0.000 0.000 0.000
 4   NORTE       0 8327.76 0000.00 0000.00 0000.00 1.000 0.000 0.000 0.000
 11  NOFICT1     1
 999
 LIMITES DE INTERCAMBIO
 A   B   A->B    B->A
 XXX XXX XJAN. XXXFEV. XXXMAR. XXXABR. XXXMAI. XXXJUN. XXXJUL. XXXAGO. XXXSET. XXXOUT. XXXNOV. XXXDEZ.
   1   2               0
2027       10.      7.      6.      3.      3.      4.      5.      8.     10.      9.      7.      9.
2028       10.      7.      6.      3.      3.      4.      5.      8.     10.      9.      7.      9.
2029       10.      7.      6.      3.      3.      4.      5.      8.     10.      9.      7.      9.
   1    4  UFV
2025             1964.   1933.   1821.   1822.   1662.   1809.   1882.   2421.   2121.   2318.   2059.
2026     2092.   2204.   2192.   1999.   2126.   1968.   2123.   2207.   2823.   2423.   2524.   2246.
2027     2282.   2391.   2377.   2195.   2174.   2030.   2155.   2256.   2863.   2451.   2552.   2273.
2028     2314.   2417.   2410.   2179.   2203.   2012.   2139.   2273.   2933.   2527.   2619.   2322.
2029     2391.   2486.   2461.   2259.   2252.   2070.   2217.   2338.   2922.   2534.   2619.   2322.
   1    5  PCH MMGD
2025             28.31   30.25   30.64   27.87   25.48   22.11   18.95   17.87   18.37   24.03   30.22
2026     30.54   31.33   33.52   33.61   30.61   28.02   24.34   20.88   19.72   20.29   26.56   33.44
2027     33.82   34.70   37.12   37.23   33.92   31.05   26.97   23.14   21.86   22.49   29.45   37.09
2028     37.52   38.52   41.23   41.37   37.70   34.53   30.01   25.76   24.34   25.06   32.83   41.36
2029     41.86   42.99   46.04   46.22   42.14   38.61   33.57   28.83   27.25   28.06   36.78   46.35
   1    6  PCT MMGD
2025             90.30   91.10   89.60   90.40   91.00   91.80   92.60   93.20   93.90   94.70   95.50
2026     96.40   97.20   98.10   99.00   99.80  100.60  101.40  102.30  103.00  103.80  104.60  105.60
2027    106.50  107.30  108.20  109.00  109.80  110.50  111.30  112.10  112.80  113.60  114.40  115.30
2028    116.20  117.00  117.80  118.50  119.30  120.00  120.80  121.60  122.20  123.00  123.70  124.60
2029    125.50  126.30  127.10  127.90  128.70  129.40  130.20  131.00  131.70  132.40  133.20  134.10
   1    7  EOL MMGD
2025              0.06    0.06    0.05    0.06    0.07    0.07    0.08    0.08    0.07    0.07    0.07
2026      0.07    0.06    0.06    0.05    0.06    0.07    0.07    0.08    0.08    0.07    0.07    0.07
2027      0.07    0.06    0.06    0.05    0.06    0.07    0.07    0.08    0.08    0.07    0.07    0.07
2028      0.07    0.06    0.06    0.06    0.07    0.07    0.08    0.08    0.08    0.08    0.08    0.08
2029      0.07    0.07    0.07    0.06    0.07    0.08    0.09    0.09    0.09    0.09    0.08    0.09
   1    8  UFV MMGD
2025           3204.40 3080.50 3103.70 2921.20 2903.50 3028.80 3462.20 3286.00 3248.40 3119.20 3285.90
