EMPRESA          COD USINA           UNTDDMMAAAA DUR.    POT.
XXAAAAAAAAAAA    XXXAAAAAAAAAAAAA    XXAXXXXXXXX XXX   XXXX.XX
25GERA MA         70GERAMAR II        1 26062026   5     34.92
25GERA MA         70GERAMAR II        1 30082026   4     34.92
25GERA MA         70GERAMAR II        2 26062026   5     43.65
25GERA MA         70GERAMAR II        2 30082026   4     43.65
25GERA MA         70GERAMAR II        3 01072026   5     43.65
25GERA MA         70GERAMAR II        3 30082026   4     43.65
25GERA MA         70GERAMAR II        4 01072026   5     43.65
25GERA MA         70GERAMAR II        4 30082026   4     43.65
19ENEVA          326JAGUATIRI II      1 07062026   1     48.65
19ENEVA          326JAGUATIRI II      1 01072026  21     48.65
19ENEVA          326JAGUATIRI II      2 07062026  21     48.65
19ENEVA          326JAGUATIRI II      3 07062026  19     43.53
19ENEVA          212MARANHAO III      1 20042026  38    168.80
19ENEVA          212MARANHAO III      1 24102026   1    168.80
19ENEVA          212MARANHAO III      2 21032026  33    168.80
19ENEVA          212MARANHAO III      2 24052026   4    168.80
19ENEVA          212MARANHAO III      2 25102026   1    168.80
19ENEVA          212MARANHAO III      3 21032026  68    181.20
19ENEVA          212MARANHAO III      3 24102026   2    181.20
19ENEVA           36MARANHAO IV       1 15092026   1    168.80
19ENEVA           36MARANHAO IV       2 01032026   1    168.80
19ENEVA           36MARANHAO IV       2 08092026   1    168.80
19ENEVA           21MARANHAO V        1 22092026   1    168.80
19ENEVA           21MARANHAO V        2 29092026   1    168.80
34J&F            140MAUA 3            1 01032026  25    189.55
34J&F            140MAUA 3            1 04072026   2    189.55
34J&F            140MAUA 3            1 03102026   2    189.55
34J&F            140MAUA 3            2 30032026  31    189.55
34J&F            140MAUA 3            2 08082026   2    189.55
34J&F            140MAUA 3            2 07112026   2    189.55
34J&F            140MAUA 3            3 01032026  25    211.65
34J&F            140MAUA 3            3 30032026  31    211.65
34J&F            140MAUA 3            3 04072026   2    211.65
34J&F            140MAUA 3            3 08082026   2    211.65
34J&F            140MAUA 3            3 12092026  10    211.65
34J&F            140MAUA 3            3 03102026   2    211.65
34J&F            140MAUA 3            3 07112026   2    211.65
19ENEVA           46N.VENECIA 2       1 14052026   2    168.87
19ENEVA           46N.VENECIA 2       1 17102026   1    168.87
19ENEVA           46N.VENECIA 2       2 14052026   2      9.34
19ENEVA           46N.VENECIA 2       2 17102026   1      9.34
19ENEVA           46N.VENECIA 2       3 12052026  11     92.25
19ENEVA           46N.VENECIA 2       3 17102026   2     92.25
31PALMAPLAN      328PALMAPLAN 2       1 28032026   2      5.78
31PALMAPLAN      328PALMAPLAN 2       1 31102026   6      5.78
31PALMAPLAN      328PALMAPLAN 2       2 04042026   2      5.78
31PALMAPLAN      328PALMAPLAN 2       2 06112026   6      5.78
19ENEVA          116PARNAIBA IV       1 09092026   1     18.76
19ENEVA          116PARNAIBA IV       2 01032026   3     18.76
19ENEVA          116PARNAIBA IV       3 04032026   3     18.76
19ENEVA          116PARNAIBA IV       3 23092026   1     18.76
99PARNAIBA       239PARNAIBA V        1 01032026  18    365.32
99PARNAIBA       239PARNAIBA V        1 08092026   4    365.32
34OXE            329PAU RAINHA        1 09072026   3     11.50
19ENEVA          176PORTO ITAQUI      1 01042026  10    360.14
34OXE            330SANTA LUZ         1 12072026   3     11.50
