NUM   TIPO   MODIF  MI ANOI MF ANOF
XXXX XXXXX XXXXXXXX XX XXXX XX XXXX
  26 TEIFT     0.00  1 2026  2 2026  
  26 GTMIN     5.00  4 2026  4 2026
  26 GTMIN     7.00  5 2026  5 2026
  26 GTMIN     6.00  7 2026  7 2026
  26 GTMIN     7.00  8 2026  8 2026
  26 GTMIN 00007.00 10 2026 11 2026
  26 IPTER     0.00  1 2027  1 2027  
  26 GTMIN     5.00  1 2027  1 2027
  26 IPTER    14.29  2 2027  2 2027  
  26 GTMIN     8.00  2 2027  2 2027
  26 IPTER    50.00  3 2027  4 2027  
  26 GTMIN     5.00  4 2027  4 2027
  26 IPTER    33.87  5 2027  5 2027  
  26 GTMIN     7.00  5 2027  5 2027
  26 IPTER    30.00  6 2027  6 2027  
  26 IPTER    50.00  7 2027  8 2027  
  26 GTMIN     6.00  7 2027  7 2027
  26 GTMIN     7.00  8 2027  8 2027
  26 IPTER    16.67  9 2027  9 2027  
  26 IPTER     0.00 10 2027 12 2027  
  26 GTMIN 00007.00 10 2027 11 2027
  26 GTMIN     5.00  1 2028  1 2028
  26 GTMIN     8.00  2 2028  2 2028
  26 GTMIN     5.00  4 2028  4 2028
  26 GTMIN     7.00  5 2028  5 2028
  26 GTMIN     6.00  7 2028  7 2028
  26 GTMIN     7.00  8 2028  8 2028
  26 GTMIN 00007.00 10 2028 11 2028
  26 GTMIN     5.00  1 2029  1 2029
  26 GTMIN     8.00  2 2029  2 2029
  26 GTMIN     5.00  4 2029  4 2029
  26 GTMIN     7.00  5 2029  5 2029
  26 GTMIN     6.00  7 2029  7 2029
  26 GTMIN     7.00  8 2029  8 2029
  26 GTMIN 00007.00 10 2029 11 2029
  26 GTMIN     5.00  1 2030  1 2030
  26 GTMIN     8.00  2 2030  2 2030
  26 GTMIN     5.00  4 2030  4 2030
  26 GTMIN     7.00  5 2030  5 2030
  26 GTMIN     6.00  7 2030  7 2030
  26 GTMIN     7.00  8 2030  8 2030
  26 GTMIN 00007.00 10 2030 11 2030
  27 POTEF   110.00  1 2026          J.LACERDA A2
  27 TEIFT     0.00  1 2026  2 2026  
  27 GTMIN    38.64  1 2026  1 2026
  27 GTMIN    50.00  2 2026  2 2026
  27 GTMIN    40.00  3 2026  3 2026
  27 GTMIN 00015.00  4 2026  5 2026
  27 GTMIN    40.00  6 2026  6 2026
  27 GTMIN    60.00  7 2026  7 2026
  27 GTMIN    50.00  8 2026  8 2026
  27 GTMIN    46.00  9 2026  9 2026
  27 GTMIN 00040.00 10 2026  3 2027
  27 GTMIN 00015.00  4 2027  5 2027
  27 GTMIN    40.00  6 2027  6 2027
  27 GTMIN    60.00  7 2027  7 2027
  27 GTMIN    50.00  8 2027  8 2027
  27 GTMIN    46.00  9 2027  9 2027
  27 GTMIN 00040.00 10 2027  3 2028
  27 GTMIN 00015.00  4 2028  5 2028
  27 GTMIN    40.00  6 2028  6 2028
  27 GTMIN    60.00  7 2028  7 2028
  27 GTMIN    50.00  8 2028  8 2028
  27 GTMIN    46.00  9 2028  9 2028
  27 GTMIN 00040.00 10 2028  3 2029
  27 GTMIN 00015.00  4 2029  5 2029
  27 GTMIN    40.00  6 2029  6 2029
  27 GTMIN    60.00  7 2029  7 2029
  27 GTMIN    50.00  8 2029  8 2029
  27 GTMIN    46.00  9 2029  9 2029
  27 GTMIN 00040.00 10 2029  3 2030
  27 GTMIN 00015.00  4 2030  5 2030
  27 GTMIN    40.00  6 2030  6 2030
  27 GTMIN    60.00  7 2030  7 2030
  27 GTMIN    50.00  8 2030  8 2030
  27 GTMIN    46.00  9 2030  9 2030
  27 GTMIN    40.00 10 2030
  25 POTEF   220.00  1 2026          J.LACERDA B
  25 TEIFT     0.00  1 2026  2 2026  
  25 GTMIN    67.31  1 2026  1 2026
  25 GTMIN   110.00  2 2026  2 2026
  25 GTMIN 00100.00  3 2026  5 2026
  25 GTMIN   132.00  6 2026  6 2026
  25 GTMIN   188.00  7 2026  7 2026
  25 GTMIN 00206.79  8 2026 11 2026
  25 GTMIN   132.00 12 2026 12 2026
  25 GTMIN 00100.00  1 2027  5 2027
  25 GTMIN   132.00  6 2027  6 2027
  25 GTMIN 00184.00  7 2027 11 2027
  25 GTMIN   132.00 12 2027 12 2027
  25 GTMIN 00100.00  1 2028  5 2028
  25 GTMIN   132.00  6 2028  6 2028
  25 GTMIN 00184.00  7 2028 11 2028
  25 GTMIN   132.00 12 2028 12 2028
  25 GTMIN 00100.00  1 2029  5 2029
  25 GTMIN   132.00  6 2029  6 2029
  25 GTMIN 00184.00  7 2029 11 2029
  25 GTMIN   132.00 12 2029 12 2029
  25 GTMIN 00100.00  1 2030  5 2030
  25 GTMIN   132.00  6 2030  6 2030
  25 GTMIN 00184.00  7 2030 11 2030
