codigo,nome_arquivo,nome_completo,posto,submercado,empresa,arquivo_fonte,tipo
125,LAJES,LAJES,202,1,17,HIDR,usina
126,STA CECILIA,STA CECILIA,125,1,17,HIDR,usina
127,PICADA,PICADA,197,1,338,HIDR,usina
128,SOBRAGI,SOBRAGI,198,1,65,HIDR,usina
129,ANTA,ANTA,129,1,19,HIDR,usina
130,SIMPLICIO,SIMPLICIO,300,1,19,HIDR,usina
131,ILHA POMBOS,ILHA POMBOS,130,1,17,HIDR,usina
132,NILO PECANHA,NILO PECANHA,300,1,17,HIDR,usina
133,FONTES,FONTES,202,1,17,HIDR,usina
134,P. PASSOS,P. PASSOS,202,1,17,HIDR,usina
135,SALTO GRANDE,SALTO GRANDE,134,1,18,HIDR,usina
136,P. ESTRELA,P. ESTRELA,263,1,77,HIDR,usina
139,BAU I,BAU I,267,1,100,HIDR,usina
140,CANDONGA,CANDONGA,149,1,158,HIDR,usina
142,BAGUARI,BAGUARI,141,1,19,HIDR,usina
144,AIMORES,AIMORES,148,1,18,HIDR,usina
145,MASCARENHAS,MASCARENHAS,144,1,205,HIDR,usina
146,SUICA,SUICA,213,1,294,HIDR,usina
147,FONTES C,FONTES C,202,1,17,HIDR,usina
148,FONTES AB,FONTES AB,300,1,17,HIDR,usina
149,IRAPE,IRAPE,255,1,18,HIDR,usina
150,MURTA,MURTA,258,1,129,HIDR,usina
154,SAO DOMINGOS,SAO DOMINGOS,154,1,189,HIDR,usina
155,ITAPEBI,ITAPEBI,188,3,224,HIDR,usina
156,RETIRO BAIXO,RETIRO BAIXO,155,1,19,HIDR,usina
157,TRES MARIAS,TRES MARIAS,156,1,18,HIDR,usina
163,QUEIMADO,QUEIMADO,158,1,18,HIDR,usina
170,SOBRADINHO,SOBRADINHO,169,3,33,HIDR,usina
173,ITAPARICA,ITAPARICA,172,3,33,HIDR,usina
174,MOXOTO,MOXOTO,173,3,33,HIDR,usina
175,P.AFONSO 123,P.AFONSO 123,175,3,33,HIDR,usina
176,P.AFONSO 4,P.AFONSO 4,300,3,33,HIDR,usina
177,COMP PAF-MOX,COMP PAF-MOX,176,3,33,HIDR,usina
179,XINGO,XINGO,178,3,33,HIDR,usina
181,TOCOS,TOCOS,201,1,17,HIDR,usina
182,SANTANA,SANTANA,203,1,17,HIDR,usina
183,VIGARIO,VIGARIO,300,1,17,HIDR,usina
184,FONTES A,FONTES A,202,1,17,HIDR,usina
185,FONTES BC,FONTES BC,300,1,17,HIDR,usina
186,BARRA BRAUNA,BARRA BRAUNA,135,1,322,HIDR,usina
187,ITAOCARA I,ITAOCARA I,199,1,17,HIDR,usina
190,P. CAVALO,P. CAVALO,254,3,93,HIDR,usina
191,B. ESPERANCA,B. ESPERANCA,190,3,33,HIDR,usina
193,GUILMAN-AMOR,GUILMAN-AMOR,262,1,336,HIDR,usina
194,SA CARVALHO,SA CARVALHO,183,1,18,HIDR,usina
195,TRAIRA II,TRAIRA II,265,1,51,HIDR,usina
196,JAURU,JAURU,295,1,328,HIDR,usina
197,GUAPORE,GUAPORE,296,1,70,HIDR,usina
204,CORUMBA III,CORUMBA III,23,1,224,HIDR,usina
205,CACH.CALDEIR,CACH.CALDEIR,204,4,278,HIDR,usina
216,SALTO PILAO,SALTO PILAO,101,2,134,HIDR,usina
217,CUBATAO,CUBATAO,100,2,20,HIDR,usina
218,ROSAL,ROSAL,196,1,18,HIDR,usina
226,SLT APIACAS,SLT APIACAS,225,1,95,HIDR,usina
228,SINOP,SINOP,227,1,306,HIDR,usina
229,COLIDER,COLIDER,228,1,23,HIDR,usina
230,TELES PIRES,TELES PIRES,229,1,224,HIDR,usina
231,SAO MANOEL,SAO MANOEL,230,1,286,HIDR,usina
242,SLT VERDINHO,SLT VERDINHO,241,1,65,HIDR,usina
250,OURINHOS,OURINHOS,249,1,65,HIDR,usina
252,SERRA MESA,SERRA MESA,270,1,339,HIDR,usina
253,CANA BRAVA,CANA BRAVA,191,1,24,HIDR,usina
254,SAO SALVADOR,SAO SALVADOR,253,1,24,HIDR,usina
258,PEIXE ANGIC,PEIXE ANGIC,257,1,19,HIDR,usina
261,ESTRELA,ESTRELA,260,1,326,HIDR,usina
262,LAJEADO,LAJEADO,273,1,86,HIDR,usina
263,SALTO,SALTO,294,1,132,HIDR,usina
268,ESTREITO TOC,ESTREITO TOC,271,4,24,HIDR,usina
269,S. QUEBRADA,S. QUEBRADA,274,4,54,HIDR,usina
270,COUTO MAGALH,COUTO MAGALH,187,1,124,HIDR,usina
273,CURUA-UNA,CURUA-UNA,277,4,37,HIDR,usina
274,SANTA ISABEL,SANTA ISABEL,276,4,135,HIDR,usina
276,TUCURUI,TUCURUI,275,4,37,HIDR,usina
277,RONDON II,RONDON II,145,1,204,HIDR,usina
278,BALBINA,BALBINA,269,4,37,HIDR,usina
279,MANSO,MANSO,278,1,339,HIDR,usina
280,SAMUEL,SAMUEL,279,1,37,HIDR,usina
281,COARACY NUNE,COARACY NUNE,280,4,37,HIDR,usina
282,PONTE PEDRA,PONTE PEDRA,281,1,24,HIDR,usina
283,OLHO DAGUA,OLHO DAGUA,282,1,130,HIDR,usina
284,STA CLARA MG,STA CLARA MG,283,1,76,HIDR,usina
285,FERREIRA GOM,FERREIRA GOM,297,4,239,HIDR,usina
286,JIRAU,JIRAU,285,1,236,HIDR,usina
287,STO ANT JARI,STO ANT JARI,290,4,240,HIDR,usina
288,STO ANTONIO,STO ANTONIO,287,1,218,HIDR,usina
289,BELO MONTE,BELO MONTE,300,4,334,HIDR,usina
290,ITUMIRIM,ITUMIRIM,289,1,127,HIDR,usina
291,ESPORA,ESPORA,99,1,335,HIDR,usina
292,FICT.SERRA M,FICT.SERRA M,270,4,339,HIDR,usina
293,FICT.CANA BR,FICT.CANA BR,191,4,24,HIDR,usina
295,FICT.QUEIMAD,FICT.QUEIMAD,158,3,18,HIDR,usina
296,FICT.TRES MA,FICT.TRES MA,156,3,18,HIDR,usina
299,FICT.IRAPE,FICT.IRAPE,255,3,18,HIDR,usina
300,FICT.COUTO M,FICT.COUTO M,187,4,124,HIDR,usina
302,FICT.SAO JER,FICT.SAO JER,58,1,186,HIDR,usina
303,FICT.LAJEADO,FICT.LAJEADO,273,4,86,HIDR,usina
304,FICT.PEIXE A,FICT.PEIXE A,257,4,19,HIDR,usina
305,ITIQUIRA I,ITIQUIRA I,259,1,322,HIDR,usina
306,ITIQUIRA II,ITIQUIRA II,252,1,322,HIDR,usina
307,FICT.SAO SAL,FICT.SAO SAL,253,4,24,HIDR,usina
308,FICT.MURTA,FICT.MURTA,258,3,129,HIDR,usina
309,FICT.RETIRO,FICT.RETIRO,155,3,19,HIDR,usina
310,JURUENA,JURUENA,226,1,297,HIDR,usina
311,DARDANELOS,DARDANELOS,291,1,224,HIDR,usina
312,CACU,CACU,247,1,289,HIDR,usina
313,B. COQUEIROS,B. COQUEIROS,248,1,289,HIDR,usina
314,ITAGUACU,ITAGUACU,313,1,51,HIDR,usina
315,PIMENTAL,PIMENTAL,288,4,334,HIDR,usina
316,FOZ R. CLARO,FOZ R. CLARO,261,1,227,HIDR,usina
318,FICT.TIBAGI,FICT.TIBAGI,55,1,288,HIDR,usina
319,FICT.STA BRA,FICT.STA BRA,54,1,277,HIDR,usina
320,FICT.MAUA,FICT.MAUA,57,1,23,HIDR,usina
