modelo,deck,tipo,codigo,nome,potencia_efetiva,fcmax,teif,ip,arquivo_origem,tipo_combustivel
DECOMP,DC202501-sem1,Usina Térmica Individual,248,PAULINIA,,,,,dadger..rv0,
NEWAVE,NW202502,Usina Térmica Individual,248,PAULINIA VER,,100.0,1.63,0.66,TERM.DAT,
NEWAVE,NW202502,Usina Térmica Individual,249,PORSUD I,,100.0,0.81,3.14,TERM.DAT,
NEWAVE,NW202502,Usina Térmica Individual,250,PORSUD II,,100.0,0.82,4.11,TERM.DAT,
NEWAVE,NW202502,Usina Térmica Individual,251,POVOACAO 1,,100.0,1.93,1.18,TERM.DAT,
DECOMP,DC202501-sem1,Usina Térmica Individual,251,POVOACAO I,,,,,dadger..rv0,
DECOMP,DC202501-sem1,Usina Térmica Individual,253,VIANA I,,,,,dadger..rv0,
NEWAVE,NW202502,Usina Térmica Individual,253,VIANA 1,,100.0,2.01,1.19,TERM.DAT,
NEWAVE,NW202502,Usina Térmica Individual,254,B. BONITA I,,100.0,17.24,3.11,TERM.DAT,
DECOMP,DC202501-sem1,Usina Térmica Individual,254,B.BONITA I,,,,,dadger..rv0,
NEWAVE,NW202502,Usina Térmica Individual,256,CIDADE LIVRO,,100.0,2.5,5.0,TERM.DAT,
NEWAVE,NW202502,Usina Térmica Individual,257,LINHARES LRC,,100.0,2.19,1.84,TERM.DAT,
NEWAVE,NW202502,Usina Térmica Individual,258,TROMBUDO,,100.0,3.0,6.0,TERM.DAT,
NEWAVE,NW202502,Usina Térmica Individual,259,PORTOCEM I,,100.0,1.5,2.18,TERM.DAT,
NEWAVE,NW202502,Usina Térmica Individual,260,AZULAO,,100.0,3.0,3.07,TERM.DAT,
NEWAVE,NW202502,Usina Térmica Individual,262,AZULAO II,,100.0,3.0,3.07,TERM.DAT,
NEWAVE,NW202502,Usina Térmica Individual,263,AZULAO IV,,100.0,3.0,3.07,TERM.DAT,
NEWAVE,NW202502,Usina Térmica Individual,264,MANAUS I,,100.0,2.5,2.0,TERM.DAT,
