codigo_usina;nome_usina;posto;submercado;empresa;codigo_usina_jusante;desvio;volume_minimo;volume_maximo;volume_vertedouro;volume_desvio;cota_minima;cota_maxima;a0_volume_cota;a1_volume_cota;a2_volume_cota;a3_volume_cota;a4_volume_cota;a0_cota_area;a1_cota_area;a2_cota_area;a3_cota_area;a4_cota_area;evaporacao_JAN;evaporacao_FEV;evaporacao_MAR;evaporacao_ABR;evaporacao_MAI;evaporacao_JUN;evaporacao_JUL;evaporacao_AGO;evaporacao_SET;evaporacao_OUT;evaporacao_NOV;evaporacao_DEZ;numero_conjuntos_maquinas;maquinas_conjunto_1;maquinas_conjunto_2;maquinas_conjunto_3;maquinas_conjunto_4;maquinas_conjunto_5;potencia_nominal_conjunto_1;potencia_nominal_conjunto_2;potencia_nominal_conjunto_3;potencia_nominal_conjunto_4;potencia_nominal_conjunto_5;queda_nominal_conjunto_1;queda_nominal_conjunto_2;queda_nominal_conjunto_3;queda_nominal_conjunto_4;queda_nominal_conjunto_5;vazao_nominal_conjunto_1;vazao_nominal_conjunto_2;vazao_nominal_conjunto_3;vazao_nominal_conjunto_4;vazao_nominal_conjunto_5;produtibilidade_especifica;perdas;numero_polinomios_jusante;a0_jusante_1;a1_jusante_1;a2_jusante_1;a3_jusante_1;a4_jusante_1;a0_jusante_2;a1_jusante_2;a2_jusante_2;a3_jusante_2;a4_jusante_2;a0_jusante_3;a1_jusante_3;a2_jusante_3;a3_jusante_3;a4_jusante_3;a0_jusante_4;a1_jusante_4;a2_jusante_4;a3_jusante_4;a4_jusante_4;a0_jusante_5;a1_jusante_5;a2_jusante_5;a3_jusante_5;a4_jusante_5;a0_jusante_6;a1_jusante_6;a2_jusante_6;a3_jusante_6;a4_jusante_6;referencia_jusante_1;referencia_jusante_2;referencia_jusante_3;referencia_jusante_4;referencia_jusante_5;referencia_jusante_6;canal_fuga_medio;influencia_vertimento_canal_fuga;fator_carga_maximo;fator_carga_minimo;vazao_minima_historica;numero_unidades_base;tipo_turbina;representacao_conjunto;teif;ip;tipo_perda;data;observacao;volume_referencia;tipo_regulacao
160;;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;0;0;0;0.0;0.0;0;;;0.0;
161;;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;0;0;0;0.0;0.0;0;;;0.0;
162;;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;0;0;0;0.0;0.0;0;;;0.0;
163;QUEIMADO;158;1;18;169;0;95.25;557.0;212.1199951171875;95.25;811.0;829.0;801.7885131835938;0.11423339694738388;-0.00019770119979511946;1.4418300509078108e-07;-2.488779006274432e-17;-7222561.0;26548.240234375;-32.52922058105469;0.013286369852721691;0.0;21;4;21;33;59;70;77;79;80;51;17;51;1;3;0;0;0;0;35.0;0.0;0.0;0.0;0.0;168.10000610351562;0.0;0.0;0.0;0.0;23;0;0;0;0;0.008911005221307278;2.4649999141693115;1;636.2000122070312;0.030729999765753746;-0.00015531000099144876;5.084739882477152e-07;-6.098658800191004e-10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;638.4089965820312;1;100.0;0.0;4;2;1;2;2.9260001182556152;1.8559999465942383;2;27-11-25;;557.0;M
164;;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;0;0;0;0.0;0.0;0;;;0.0;
165;;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;0;0;0;0.0;0.0;0;;;0.0;
166;;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;0;0;0;0.0;0.0;0;;;0.0;
167;;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;0;0;0;0.0;0.0;0;;;0.0;
168;;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;0;0;0;0.0;0.0;0;;;0.0;
169;;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;0;0;0;0.0;0.0;0;;;0.0;
170;SOBRADINHO;169;3;33;172;0;5447.0;34116.0;5447.0;5447.0;380.5;392.5;374.1789855957031;0.0013966900296509266;-5.351590104396564e-08;1.155989041469463e-12;-9.545989350842673e-18;-503710.0;4913.7890625;-8.966889381408691;-0.0189168993383646;4.65379016532097e-05;171;109;61;56;108;104;165;203;234;267;245;223;1;6;0;0;0;0;175.0500030517578;0.0;0.0;0.0;0.0;27.200000762939453;0.0;0.0;0.0;0.0;725;0;0;0;0;0.00888131931424141;0.1679999977350235;1;359.65380859375;0.001964010065421462;-2.968729972963047e-07;2.5082800420017648e-11;-7.70229875888352e-16;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;361.9679870605469;1;100.0;0.0;207;3;2;2;1.1150000095367432;5.507999897003174;2;27-11-25;;34116.0;M
171;;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;0;0;0;0.0;0.0;0;;;0.0;
172;;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;0;0;0;0.0;0.0;0;;;0.0;
173;ITAPARICA;172;3;33;173;0;7234.0;10782.0;7234.0;7234.0;299.0;304.0;275.81298828125;0.006764889229089022;-8.86836971858429e-07;7.067908758262575e-11;-2.2398500917642514e-15;-199695.0;1822.239990234375;-4.435698986053467;-0.0019176099449396133;1.292100023420062e-05;163;88;47;35;55;41;81;138;190;227;235;202;1;6;0;0;0;0;246.60000610351562;0.0;0.0;0.0;0.0;50.79999923706055;0.0;0.0;0.0;0.0;555;0;0;0;0;0.008739369921386242;0.503000020980835;1;251.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;251.3123016357422;1;100.0;0.0;283;4;1;2;0.4959999918937683;1.8609999418258667;2;27-11-25;;10782.0;M
174;MOXOTO;173;3;33;174;175;1226.0;1226.0;1226.0;1226.0;251.5;251.5;251.39276123046875;0.0;0.0;0.0;0.0;91.0;0.0;0.0;0.0;0.0;140;109;81;105;109;101;123;158;180;195;158;152;1;4;0;0;0;0;100.0;0.0;0.0;0.0;0.0;20.0;0.0;0.0;0.0;0.0;557;0;0;0;0;0.008972999639809132;0.2199999988079071;1;230.3000030517578;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;230.15060424804688;1;100.0;0.0;284;4;2;2;1.9880000352859497;9.652999877929688;2;27-11-25;;1212.0;D
175;P.AFONSO 123;175;3;33;178;0;26.0;26.0;26.0;26.0;230.3000030517578;230.3000030517578;230.10610961914062;0.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;140;109;81;105;109;101;123;158;180;195;158;152;5;3;2;1;3;4;60.0;70.0;75.0;76.0;198.5500030517578;81.0;82.0;82.0;81.5;87.5;84;97;104;106;258;0.008791999891400337;1.0800000429153442;1;134.11900329589844;0.0033187700901180506;-3.0925900773581816e-07;2.152780037567581e-11;-5.929500093136448e-16;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;142.26483154296875;1;100.0;0.0;284;13;1;2;9.914999961853027;2.937999963760376;1;27-11-25;;25.399999618530273;D
176;P.AFONSO 4;300;3;33;178;0;121.0;121.0;121.0;121.0;251.5;251.5;251.1855926513672;0.0;0.0;0.0;0.0;117.0;0.0;0.0;0.0;0.0;140;109;81;105;109;101;123;158;180;195;158;152;1;6;0;0;0;0;410.3999938964844;0.0;0.0;0.0;0.0;112.5;0.0;0.0;0.0;0.0;401;0;0;0;0;0.009086216799914837;0.8519999980926514;1;129.04400634765625;0.00207973993383348;-5.270679892532826e-08;6.66455985450648e-13;2.231168990054185e-17;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;137.75820922851562;1;100.0;0.0;0;4;1;2;0.8989999890327454;4.276000022888184;2;27-11-25;;1191.0;D
177;COMP PAF-MOX;176;3;33;178;0;1226.0;1226.0;1226.0;1226.0;251.5;251.5;251.39276123046875;0.0;0.0;0.0;0.0;213.0;0.0;0.0;0.0;0.0;163;88;47;35;55;41;81;138;190;227;235;202;3;4;1;6;0;0;100.0;1417.199951171875;410.3999938964844;0.0;0.0;20.0;83.3499984741211;112.5;0.0;0.0;553;1882;404;0;0;0.009034999646246433;0.6000000238418579;1;138.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;137.75820922851562;1;100.0;0.0;284;1;1;2;4.039999961853027;4.335000038146973;2;27-11-25;;1212.0;D
178;;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;0;0;0;0.0;0.0;0;;;0.0;
